activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,105368,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '12.25', 'le': '0.23', 'lle': '-0.96', 'sei': '8.85'}",CHEMBL327767,,CHEMBL327767,6.54,0,http://www.openphacts.org/units/Nanomolar,174804,=,1,1,=,,IC50,nM,,291.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.291
,108760,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '13.03', 'le': '0.25', 'lle': '-0.66', 'sei': '9.17'}",CHEMBL94496,,CHEMBL94496,6.77,0,http://www.openphacts.org/units/Nanomolar,174805,=,1,1,=,,IC50,nM,,170.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.17
,108770,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '13.94', 'le': '0.28', 'lle': '0.18', 'sei': '9.66'}",CHEMBL420441,,CHEMBL420441,7.14,0,http://www.openphacts.org/units/Nanomolar,174795,=,1,1,=,,IC50,nM,,73.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.073
,108782,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '18.47', 'le': '0.36', 'lle': '4.11', 'sei': '9.23'}",CHEMBL121,ROSIGLITAZONE,CHEMBL121,6.6,1,http://www.openphacts.org/units/Nanomolar,174797,=,1,1,=,,IC50,nM,,250.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.25
,115395,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '13.65', 'le': '0.26', 'lle': '0.02', 'sei': '9.08'}",CHEMBL330191,,CHEMBL330191,6.71,0,http://www.openphacts.org/units/Nanomolar,174792,=,1,1,=,,IC50,nM,,195.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.195
,116826,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '14.12', 'le': '0.27', 'lle': '0.44', 'sei': '9.13'}",CHEMBL300629,,CHEMBL300629,6.75,0,http://www.openphacts.org/units/Nanomolar,174789,=,1,1,=,,IC50,nM,,180.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.18
,116832,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '13.79', 'le': '0.28', 'lle': '-0.02', 'sei': '9.82'}",CHEMBL328615,,CHEMBL328615,7.25,0,http://www.openphacts.org/units/Nanomolar,174799,=,1,1,=,,IC50,nM,,56.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.056
,119252,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '16.35', 'le': '0.31', 'lle': '1.77', 'sei': '9.64'}",CHEMBL96107,,CHEMBL96107,7.12,0,http://www.openphacts.org/units/Nanomolar,174790,=,1,1,=,,IC50,nM,,76.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.076
,121672,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '15.24', 'le': '0.29', 'lle': '1.51', 'sei': '8.00'}",CHEMBL94397,,CHEMBL94397,7.52,0,http://www.openphacts.org/units/Nanomolar,174801,=,1,1,=,,IC50,nM,,30.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.03
,122904,[],CHEMBL759452,In vitro binding affinity against human peroxisome proliferator activated receptor gamma,B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,,,CHEMBL1136170,Bioorg Med Chem Lett,2003.0,"{'bei': '11.88', 'le': '0.23', 'lle': '-1.48', 'sei': '8.78'}",CHEMBL97529,,CHEMBL97529,6.48,0,http://www.openphacts.org/units/Nanomolar,174794,=,1,1,=,,IC50,nM,,330.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,uM,UO_0000065,,0.33
