activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,184830,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL81248,,CHEMBL81248,7.85,1,http://www.openphacts.org/units/Nanomolar,143606,=,1,1,=,,IC50,nM,,14.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.014
,186297,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL82034,,CHEMBL82034,7.75,1,http://www.openphacts.org/units/Nanomolar,143599,=,1,1,=,,IC50,nM,,18.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.018000001
,189892,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL81208,,CHEMBL81208,6.89,0,http://www.openphacts.org/units/Nanomolar,143609,=,1,1,=,,IC50,nM,,128.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.128
,191184,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(C2CCCCC2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL264385,,CHEMBL264385,7.82,1,http://www.openphacts.org/units/Nanomolar,143604,=,1,1,=,,IC50,nM,,15.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.015000001
,194645,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL77502,LY-510929,CHEMBL77502,8.00,1,http://www.openphacts.org/units/Nanomolar,143597,=,1,1,=,,IC50,nM,,10.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.010000001
,194651,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL312717,,CHEMBL312717,6.77,0,http://www.openphacts.org/units/Nanomolar,143600,=,1,1,=,,IC50,nM,,169.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.16900001
,196959,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2cccs2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL82602,,CHEMBL82602,7.62,0,http://www.openphacts.org/units/Nanomolar,143598,=,1,1,=,,IC50,nM,,24.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.024
,197950,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2cccs2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL79426,,CHEMBL79426,6.53,1,http://www.openphacts.org/units/Nanomolar,143605,=,1,1,=,,IC50,nM,,297.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.29700002
,202931,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,CCCCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL82193,,CHEMBL82193,5.65,0,http://www.openphacts.org/units/Nanomolar,143608,=,1,1,=,,IC50,nM,,2241.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,2.2410002
,206560,[],CHEMBL760384,Displacement of PPARgamma agonist from human PPAR gamma receptor,F,,,BAO_0000190,BAO_0000019,assay format,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@@](C)(Oc2ccccc2)C(=O)O)cc1,,,CHEMBL1148303,J Med Chem,2004,,CHEMBL412371,,CHEMBL412371,6.41,1,http://www.openphacts.org/units/Nanomolar,143607,=,1,1,=,,IC50,nM,,388.0,CHEMBL235,Homo sapiens,Peroxisome proliferator-activated receptor gamma,9606,,,IC50,nM,UO_0000065,,0.388
